title,url,comment
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,"Una cancelación más, otro obstáculo superado, aquí estamos los firmes, aquí esta una comunidad de compas con objetivos, metas y dedicación.  Por otro Martes de Live, otro martes con el temach,  Martes de Ares pero lo más importante Martes de MODO GUERRA!!!!"
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Que buena la rola aquí estarías
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,"Temach acostumbrate a ese tipo de cancelaciones, si tu actividad va ser de empezar a salir a dar conferencias y pláticas, el colectivo lgtb y feministas comúnmente hacen esto, cuando les afecta su modo de ver la vida, te invito a que te pongas en contacto con Agustín Laje, Pablo Muñoz Iturrieta, Sara Winter etc, para que sepas como combatir este tipo de cancelaciones y unan fuerzas para combatir el progresismo"
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,"Eres la mera neta pelón, animo!!!"
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Siga firme maestro ... un abrazo
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Nesesitaba este live
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Vamos con todo mis compas a darle modo guerra
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,MODO GUERRA HASTA LA MUERTE mi Compa!!!!!!!!
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,"Gran maestro mis respetos y infinitos agradecimiento por el conocimiento que nos das
Quisiera que nos explicarás el experimento  universo 25 como lo podemos aplicar en este momento"
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Excelente video hermano gracias
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Andaba distraído pero aquí firmes pelón
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Vamos mi temach 
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,EL que sela queda pierde El TEMACH ES MI PASTOR  súbete Dany 
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,mi crilin …. A usted lo mando Dios… para ayudarnos a pensar y salir de este engaño que nos han hecho… no tranquilo y quizás le cancelen otros más pero tranquilo le tienen miedo mi compa… mi compa las morras estás descubiertas… para lante mi crilin
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,"El Temach , es mi Pastor!!!"
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Mi compaaaaaa firme en la repeticion
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Grande temach! Siga defendiendo el modo guerra 
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,"Activado el modo guerra saludos mis compas de Fresnillo, Zac,.
Gracias Temach"
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,"Me da una vergüenza enorme que mi querido León GTO se prestó para censurar a este gran hombre y una tristeza profunda por todos los que le queríamos ver, pero no se puede esperar más de la ""secretaria de despacho"" como un gran hombre que fue Adolfo Enriquez Vanderkam nombraba a la pseudo - presidente Alejandra Gutiérrez que cuida más de su imagen que de la seguridad de sus ciudadanos"
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,El gobierno de Guanajuato y nuestras autoridades son una porquería!!
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,cuando desorientado me encontraba yo vino el TEMACH y me salvo!
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Nahhhh... eres muy bestia Temach... Tu y Julián Assange
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,¡FALTA EL LIVE DE PREGUNTAS Y RESPUESTAS!
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Gracias Temach por estar con nosotros todas las semanas
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Gran live gran tema y más grande el líder de la secta temach!!! 
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Saludos Temach
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,A seguir en el modo guerra y el apoyo para el compa temach
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Maestro gracias 
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Buen live mi compa
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Saludos Temach!!!
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,"Te queremos Tony Maximus, eres nuestro líder."
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Dice mi madre que el Temach es mi otra madre jaja. La mamá pelona
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,"Arriba el temach ""! lulululu"
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Grande el temach.saludos desde Chile 🇨🇱
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Grande maestro TEMACH
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Mamamaguevv este rap del inicio me gustó burda man está espectacular 
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,"EL MAESTRO SOCRATES ESTARIA ORGULLOSO DE VER A OTRO MAESTRO, DEFENDER CON IDEAS, SU POSTURA Y CREENCIAS!!!
HOMBRO CON HOMBRO MI COMPA!"
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Hasta las victoria siempre.
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Vendras al estado de México?
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Saludos compas desde Santa Fe.Argentina. el temach ayuda!!!
